"","S1","S2","S3","S4","S5","S6"
"S1",0.0391053012300404,0.570129930139767,0.0619607489182723,0.0770096094500954,0.199133403416039,0.0526610068457859
"S2",0.0460948405076771,0.073105149627872,0.539448333803011,0.0849364671854789,0.0360215482108572,0.220393660665104
"S3",0.0337070571705384,0.0110713853221366,0.717956599603664,0.0595572530434004,0.0453417917802178,0.132365913080043
"S4",0.18929584246547,0.0458007528645665,0.0918004842730235,0.3801020053769,0.193072156531904,0.0999287584881356
"S5",0.197336770989743,0.0554621513163671,0.111570742678854,0.262388931635462,0.261431476218802,0.111809927160771
"S6",0,0,0,0,0,0
